gin_id,tvwsi,tvwsi_resid,vh,ndvi,n_obs,rank_published,rank_controlled,rank_shift,area_ha,ecological_value,risk_of_development,corridor_type,target_width_m,priority,recommendation
76,0.0077549484016546,0.01042801622611858,0.04593233028504368,0.7875795468189766,4,23,35,-12,16.956898484613035,Moderate,Moderate,Local,60,,"Riparian area for Hyland Creek. Partly protected as park. Provides connectivity to the Serpentine River. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossings at 144 St, 148 St, 152 St."
113,0.0086654517847743,0.010911670405306925,0.04508201150032822,0.7979571798465768,4,28,36,-8,3.8575297221025338,High,Low,Local,60,★ priority,Riparian area for creek connecting south to Tynehead Park. Protected as park. Provides one of the few passages under Highway 1. Supports habitat for species at risk. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage along 104 Ave.
83,0.0135435271534759,0.011462780459873183,0.03589515001083835,0.7945667705766061,4,58,37,21,11.41421514426795,Moderate,Moderate,Regional,60,,Riparian area for Bear Creek. This area runs through a golf course with fragmented forest and shrub communities. Work with golf course to enhance natural habitat Improve wildlife passage at 152 St.
13,0.0114924953630698,0.011974982968557497,0.041312108304425325,0.8439811122473864,4,42,38,4,5.15799294444797,Moderate,Moderate,Regional,50,,Network of protected areas and riparian corridors. Connects Sunnyside Acres to Nicomekl foreshore. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Protect land adjacent to riparian setback. Traffic calming and signage for crossings at 28 Ave. and 32 Ave. and King George Bvd. Consider wildlife passage under King George Bvd.
109,0.0105109498458618,0.0120065116150612,0.043395142109431774,0.8528436515241842,4,37,39,-2,3.1577013118659876,Moderate,Moderate,Local,60,,Riparian area for Scott Cr. Mostly protected as park and riparian setbacks. Work with adjacent landowners to naturalize this area and remove barriers to movement.
41,0.0131046784837782,0.012061108960447148,0.0380150909198384,0.8069616324963366,4,53,40,13,29.092227695294177,High,Moderate,Regional,100,,Riparian habitat for the primary reach of the Little Campbell River. Fragmented natural areas. Provides scattered high value wetland communities. Provides movement through the ALR. Protect land adjacent to riparian setback. Naturalize all areas within natural floodplain. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Work with golf course to enhance natural habitat. Traffic calming and signage at 176 St.
1,0.0098890135284889,0.012175195071749944,0.0452711483892259,0.8118942886328856,4,32,41,-9,18.35438555300162,High,Low,Regional,100,★ priority,Steep unstable slope. Includes important marine foreshore riparian habitat. Forested with a mix of species and age classes. Includes some mature trees of significant size. Railway runs along the based on the slope. Connected to Kwomais Point Park. Low risk to development as slopes are undevelopable due to geotechnical instability. Expand natural area above top of bank through naturescaping to allow for wildlife movement above the steep slopes.
143,0.0160707891744217,0.012471977842340425,0.032566622827345654,0.7142178572310927,4,71,42,29,15.372157273406852,Low,Low,Local,50,,"Hydro right of way. This right of way includes a range of habitat features. It provides the only continuous corridor throughout this highly developed landscape. Establish hedgerows and shrub pockets. Create wetlands in lowland areas. Traffic calming and signage at 64 Ave, 60 Ave, 184 St and 188 St. Provide a movement corridor under Highway 10."
103,0.010989569806606,0.012534660981967555,0.04366399962195365,0.760186349402678,4,39,43,-4,10.62986145150974,Moderate,Moderate,Regional,50,,Fragmented natural areas and parks along slope break. Partially protected as park. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossings at King George Blvd.
68,0.0104638508113601,0.012911787358212481,0.04591703669063955,0.7991577341161689,4,36,44,-8,4.305905537721638,Moderate,Moderate,Local,50,,Fragmented natural areas. Portions follow riparian setbacks of constructed ditches. Next to golf course. Provides connectivity between Colebrook Park and the Serpentine River. Improve wildlife passage at King George Blvd and Colebrook Rd.
11,0.0084977045817521,0.012926204730798136,0.0497876174220636,0.8251489683809315,4,27,45,-18,0.8229449219961156,Low,Low,Local,30,,Narrow protected corridor. Work with adjacent landowners to naturalize private land and remove barriers to movement. Traffic calming and signage for crossing at 144 St.
53,0.015244385861605,0.012935493797584489,0.03532376622127075,0.7314154269568773,4,64,46,18,7.889347745318366,High,Moderate,Regional,50,,Edge buffer for ALR. Includes fragmented natural areas. Follows 184 St. Provides connectivity from Redwood Park north to proposed Hub H and G. Provides important edge habitat to ALR field habitat. Established and protect a forested corridor on perimeter of the ALR. Traffic calming and signage along 184 St.
50,0.0124100590014178,0.012985733407900036,0.041502869145008725,0.8036266874624939,4,48,47,1,20.39509176993938,High,Moderate,Regional,100,,Riparian habitat for the Little Campbell River. Fragmented natural areas. Includes one small protected park. Provides movement through the ALR. Protect land adjacent to riparian setback. Naturalize all areas within natural floodplain. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage at 184 St.
25,0.0130265082498598,0.013385286090898365,0.04105241651427425,0.6733448473608369,4,52,48,4,1.5591879531796236,Low,High,Local,20,,"Fragmented natural forested habitat through area that is planned for development. Follows planned greenways and parks. Provides limited connectivity through developed neighbourhood. Naturalize edges of planned greenways. Traffic calming and signage at 16 Ave, 20 Ave."
75,0.0102638020847598,0.013394191894143023,0.04699203578595167,0.8185405591988458,4,34,49,-15,8.47173695328056,Moderate,Moderate,Local,60,,"Riparian area for Archibald Creek. Partly protected as park. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossings at 144 St, 148 St, 152 St."
28,0.0103037508195042,0.013456749861964927,0.0470267498086018,0.8382012429051303,4,35,50,-15,2.9495727830400056,Moderate,High,Local,30,★ priority,Fragmented natural areas through area that is planned for development. Includes two large unprotected forest patches. Follows planned greenways. Provides limited connectivity through developed neighbourhood. Naturalize edges of planned greenway. Traffic calming and signage at road crossings.
43,0.0179656968337472,0.013580902883634756,0.030727574691366576,0.6939743013036463,4,80,51,29,2.5014368175682447,High,Moderate,Regional,50,,Riparian habitat for creek running adjacent to 188 St. Runs through a large forested patch that is proposed for protection as Hub E. Provides movement through the ALR south to natural areas of Washington State. Protect land adjacent to riparian setback. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage along 188 St.
90,0.0147177159723022,0.013685609763009966,0.03823237515990845,0.6602859099456626,4,61,52,9,1.868208657173981,Low,Low,Local,30,,Hydro Right of way through highly developed industrial area. Includes some riparian area. It provides a continuous corridor throughout a highly developed area. Work with landowners to naturalize this area and remove barriers to movement. Create wetlands in lowland areas. Install hedgerows along trails. Traffic calming and signage at 88 Ave.
142,0.0111195826838757,0.013803044162626475,0.046000210187239,0.8326979059684371,4,41,53,-12,13.069853837476211,High,Low,Local,80,★ priority,Riparian area for creek with well established setbacks. High density development up to riparian setbacks. Restrict access and enhance habitat. Provide a movement corridor under Fraser Highway.
40,0.0159615792620959,0.013807215025367308,0.0356167911299541,0.7512571270584285,4,70,54,16,40.91367019962606,Moderate,High,Regional,100,,"Riparian habitat for the primary reach of the Little Campbell River. Fragmented natural areas. Provides scattered high value wetland communities. Provides movement through the ALR. Protect land adjacent to riparian setback. Naturalize all areas within natural floodplain. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Work with golf course to enhance natural habitat. Traffic calming and signage at 8 Ave, 16 Ave, 20 Ave and 184 St."
15,0.0235394685349906,0.01387301149379327,0.01976418916950765,0.6205878691849713,4,102,55,47,0.926187921363775,High,Moderate,Regional,30,,Golf course and subdivision bordering the Nicomekl River. Provides critical east to west movement along the Nicomekl river foreshore. Establish hedge row and enhance tree cover along foreshore. Encourage naturescaping on golf course. Improve wildlife passage corridor under Elgin Rd. Bridge.
24,0.0148741024265933,0.013996158856869743,0.03857443345376825,0.6792728176931236,4,62,56,6,3.4377406110705166,Moderate,Moderate,Local,40,,Greenway running adjacent to Hwy 99 though undeveloped natural area. Provides connectivity to proposed Hub F. Install highway fencing. Improve wildlife passage under 16 Ave.
104,0.0115850505748206,0.0141331768983489,0.04569252382551075,0.835596171933122,4,43,57,-14,6.690221698754351,Moderate,Moderate,Regional,50,,Fragmented natural areas and parks along slope break. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossings at King George Blvd and Old Yale Rd.
21,0.0132214324360295,0.014172182858523284,0.04237925808663635,0.8534909185871931,4,56,58,-2,7.032373456167963,Moderate,Moderate,Local,60,,Riparian corridor in natural area proposed for development. Includes creeks and lake foreshore. Provides connectivity from Highway 99 greenway east to the ALR. Protect land adjacent to riparian setback. Naturalize riparian habitat adjacent to lake. Establish shrub habitat under Hydro ROW. Traffic calming and signage for crossings at 32 Ave
39,0.0163804517746593,0.014576704788509597,0.03636903191199298,0.7261714357950818,4,72,59,13,2.315335836120626,Low,Low,Local,30,,Riparian corridor for Thomson Creek. Highly disturbed riparian habitat through agricultural fields. Provides movement through the ALR and connectivity north to Redwood Park. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Protect land adjacent to riparian setback.
102,0.0137276663866867,0.01458866347256248,0.04222298254032115,0.6516060400575967,4,59,60,-1,6.564925137811074,High,Moderate,Regional,100,,Fragmented natural areas through residential neighbourhood. South Fraser Perimeter Road being complete to the north. Provides important connectivity between Invergarry Park and Port Mann Park. Facilitate wildlife passage under bridge. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement.
62,0.0186533255229949,0.014727410845467019,0.0318056268074824,0.6451418275920301,4,82,61,21,2.5866672177775056,Moderate,Low,Regional,60,,Riparian corridor along a dyked stream. Provides connectivity between the Nicomekl River and Mound Farm Park. Protect land adjacent to riparian setback. Naturalize this area by planting native tree and shrub cover. Traffic calming and signage at 48 Ave.
92,0.020703766907392,0.014856343801896627,0.027798727880047024,0.6729966552516944,4,88,62,26,11.371433696920208,Moderate,Moderate,Local,50,,"Hydro right of way. Partially protected as park. It provides a continuous corridor throughout an established neighbourhood. Work with adjacent landowners to naturalize this area and remove barriers to movement. Create wetlands in lowland areas. Traffic calming and signage at 140 St, King George Bvd, 92 Ave, 132 St, 128 St and 88 Ave."
58,0.0117807587621019,0.014924709786077503,0.04703100210184548,0.8807097639197393,4,45,63,-18,30.58116278031619,High,Moderate,Regional,100,★ priority,"Large forested natural area. Follows edge of ALR and runs through proposed Hub G. This forested area provides an important north south wildlife movement corridor. Protect as much of this forested corridor as possible. Traffic calming and signage at 40 Ave, 32 Ave and 24 Ave."
42,0.015904329493499,0.014960502590610169,0.03830463352213673,0.8252552244374545,4,69,64,5,11.396432900107056,Moderate,Moderate,Regional,60,,Riparian habitat for creeks including Kuhn and Theodore Creeks. Highly disturbed by agriculture development and a golf course. Include one large forested patch. Provides movement through the ALR to proposed Hub E and south to natural areas of Washington State. Protect land adjacent to riparian setback. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Work with golf course to enhance natural habitat. Traffic calming and signage at 184 St.
138,0.0141800016863722,0.014969340788615577,0.042132060083433724,0.8403519429684579,4,60,65,-5,6.0786859261758375,Moderate,High,Local,50,,Riparian corridor for creek. Runs through a large intact forested habitat areas that is proposed as Hub C. Non forested areas are impacted by residential development. Protect and enhance land adjacent to riparian setback. Traffic calming and signage at 76 Ave and 80 Ave.
22,0.0156529975294478,0.014974304155574419,0.038852634549700574,0.8430266725104409,4,67,66,1,7.31169829869225,Moderate,Moderate,Local,60,,Riparian corridor through golf course and residential area. Enhance riparian habitat. Naturescaping on golf course. Traffic calming and signage for crossings at 32 Ave
73,0.0153064129146852,0.015053263417345013,0.039924525355416275,0.6789439230160418,4,65,67,-2,6.061270776722337,High,Moderate,Local,60,,Riparian area for Cougar Creek. Provides connectivity to Delta watershed park. Partly protected as park. Protect land adjacent to riparian setback. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement.. Traffic calming and signage for crossings at 120 St.
100,0.0131522879865426,0.015097347690337728,0.04458301996624155,0.773574763470531,4,54,68,-14,4.506895874252217,Moderate,Moderate,Regional,100,,Riparian area for Bon Accord creek. Partially protected as park. Connects Hawthorne Park and Invergarry Park. Protect land adjacent to riparian setback. Traffic calming and signage at 108 Ave. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement.
77,0.0192076308850547,0.015271920753413295,0.031711473575741396,0.6904496854361583,4,84,69,15,5.719894414418394,Moderate,Moderate,Local,60,,Riparian area of lowland dyked portion of Hyland Creek. Highly disturbed by agriculture. Protect land adjacent to riparian setback. Establish a native shrub community in riparian zone. Traffic calming and signage along 64 Ave.
79,0.0127935424073177,0.015653561680274267,0.046349314109863024,0.807311911457555,4,51,70,-19,0.6030792675235858,High,Moderate,Local,30,,Riparian area for ditch running across Hydro right of way. Provides connectivity between Fleetwood Park and Surrey Lake Park.
32,0.0150965311968995,0.015818836627301658,0.04185713769972285,0.814246541157991,4,63,71,-8,8.328132407115532,,,,50,,Edge buffer for ALR. Includes fragmented natural areas. Provides connectivity between Redwood Park and proposed Hub F. Provides important edge habitat to ALR field habitat. Established and protect a forested corridor on perimeter of the ALR. Traffic calming and signage for crossings at 16 Ave and 176 St.
84,0.0125693051240383,0.016621674059904168,0.04894081233356708,0.8371249026211341,4,49,72,-23,28.039740691118222,High,Low,Regional,100,,Riparian area for Bear Creek. Mostly protected as park. Includes high value aquatic and riparian habitat. Work with adjacent landowners to naturalize this area and remove barriers to movement. Traffic calming and signage for crossings at 140 St and 144 St.
70,0.0254164684090474,0.01675553401890381,0.021949945202356626,0.6105953166484921,4,107,73,34,32.77848265707942,High,Moderate,Regional,100,,Ocean foreshore riparian area. A railway runs along this coastline with scattered shrub communities. This riparian habitat provides a critical interface to the intertidal wetlands and shallow waters of Mud Bay. Protect this land through acquisition or protective covenants. Increase tree and shrub cover. Work with adjacent landowners to remove barriers to movement.
12,0.0156806979242253,0.016925376620538356,0.0430557063555423,0.8714606137678301,4,68,74,-6,0.4831884306841461,Low,Low,Local,30,,Narrow protected corridor. Work with adjacent landowners to naturalize private land and remove barriers to movement. Traffic calming and signage for crossing at 144 St.
78,0.0218149732723657,0.01705702796042264,0.029854951224931522,0.7816946708843584,4,92,75,17,5.15756748882203,Moderate,Moderate,Regional,60,,Riparian area for lower Bear Cr. This reach is dyked and heavily impacted by agriculture. Provides connectivity from Surrey Lake Park to the Serpentine River. Protect land adjacent to riparian setback and restore tree and shrub cover.
127,0.0131797767826325,0.01709609844133376,0.04858435303259712,0.8751751388027891,4,55,76,-21,2.3727467094009107,High,High,Regional,50,,Large forested natural area. Runs through proposed Hub A. This forested area provides connectivity between Serpentine river and Tynehead Park. Establish and protect a forested corridor. Traffic calming and signage at 88 Ave.
101,0.0134892833372729,0.017128042028097184,0.0479795855233404,0.8348487163726566,4,57,77,-20,2.613797647659461,Moderate,Moderate,Local,50,,Mostly protected as a network of park areas. Provides connectivity between Invegarry Park and Port Mann Park. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossing at Wallace Dr.
27,0.0116865476040207,0.017407921301489743,0.05256858762342475,0.8630662234700723,4,44,78,-34,0.9692130641759482,Moderate,High,Local,30,★ priority,Riparian corridor for creek through natural forested area. Provides connectivity to ALR. Protect land adjacent to riparian setback. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossings along 32 Ave.
133,0.0166227513472137,0.017734313832780124,0.04249622505760835,0.8204727587718244,4,75,79,-4,5.1824001643605975,High,Moderate,Local,60,,Riparian area of south arm of Latimer Creek. Mostly forested except west section which is heavily impacted by agriculture. Protect land adjacent to riparian setback. Naturalize disturbed areas by planting native tree and shrub cover. Traffic calming and signage at 188 St.
86,0.0208509538977908,0.01791443838828296,0.03391996647458083,0.6747602198481162,4,89,80,9,21.451684096166556,High,Low,Regional,100,,"Hydro right of way. Provides a network of shrub and field habitat. Mostly protected as a network of parks. Work with adjacent landowners to naturalize this area and remove barriers to movement. Create wetlands in lowland areas. Traffic calming and signage for crossings at King George Bvd, 140 St, 144 St,"
8,0.016748847457738,0.019311283837470834,0.04572951891494255,0.8430151474575446,4,76,81,-5,10.563445413896332,Moderate,Moderate,Regional,50,,Riparian Corridor along Chantrell Creek. Connects Elgin Heritage Park to upland areas. Partially protected as parkland. Work with adjacent landowners to naturalize private land and remove barriers to movement. Protect land adjacent to riparian setback. Traffic calming and signage for crossing at 24 Ave. 28 Ave and Crescent Rd.
123,0.0191292464391687,0.019684063704290877,0.0414649004399154,0.7764549196215988,4,83,82,1,6.954534507697518,Moderate,High,Regional,50,,Fragmented forest habitat through low density residential neighbourhood. Area is planned for development. Follows planned greenways and parks. Provides connectivity between proposed Hub A and the ALR north to underpass of Highway 1 and the riparian corridor of Leoran Brk. Naturalize edges of planned greenways. Traffic calming and signage at 180 St. Provide a movement corridor under Golden Ears Way.
